,,,,,,,,,,,,,,,,,,,PER 24hs,,,,,
N,Dia,Hora de captura,Temp (°),Humedad (%),Nº de cepo,Guardian o Recolector,Nido,tiempo de incubadora,"Tratamiento (Sin Olor, sin  CNA, Caf, Arg, C+A)",E1,E2,E3,E4,E5,E6,LIO 40,NONA 40,Muere,LIO 24hs,NONA 24 hs,Peso,Peso total,Peso cepo,Peso neto
92,16/9/2024,14:00,23,36,9,R,5,,CAF+ARG,N,N,I,N,N,-,A LOS 30 MIN,-,0,,-,0,14,"13,5065","0,21"
93,16/9/2024,14:00,23,36,10,R,5,,CAF+ARG,T,T,T,T,T,A,1,0,0,1,0,"0,2216","13,5765","13,3549",
94,16/9/2024,14:00,23,36,11,R,5,,ARG,N,T,T,T,T,T,0,0,0,0,0,"0,1985","13,7308","13,5323",
95,16/9/2024,14:00,23,36,12,R,5,,ARG,T,T,T,T,T,T,1,0,0,1,0,"0,2066","13,5913","13,3847",
96,16/9/2024,14:00,23,36,13,R,5,,ARG,T,N,T,T,T,T,0,0,0,1,0,"0,2159","14,6728","14,4569",
97,16/9/2024,14:00,23,36,14,R,5,,ARG,T,T,T,A,A,A,1,0,0,1,0,"0,1421","13,2973","13,1552",
98,16/9/2024,14:00,23,36,15,R,5,,Sin CNA,T,T,T,T,T,T,1,0,0,0,0,"0,1585","13,5712","13,4127",
99,16/9/2024,14:00,23,36,16,R,5,,Sin CNA,T,T,T,A,A,A,1,0,0,1,0,"0,2279","13,2839","13,056",
100,16/9/2024,14:00,23,36,17,R,5,,Sin Olor,N,T,T,T,T,T,0,0,0,0,0,"0,1713","13,3314","13,1601",
101,16/9/2024,14:00,23,36,18,R,5,,Sin Olor,T,T,T,T,T,T,0,0,0,0,0,"0,2273","13,5777","13,3504",
102,30/9/24,13:47,27,93,1,R,5,1:30,Sin olor,N,N,T,T,T,T,0,0,0,0,0,"0,1643","12,9927","12,8284",
103,30/9/24,13:47,27,93,2,R,5,,Sin olor,T,T,T,T,T,T,0,0,0,0,0,"0,1664","13,0598","12,8934",
104,30/9/24,13:47,27,93,3,R,5,,sin CNA,N,N,N,N,N,X,0,1,0,0,0,"0,2294","13,2894","13,06",
105,30/9/24,13:47,27,93,4,R,5,,sin CNA,T,T,T,T,T,A,0,0,1,F,F,"0,1622","13,5681","13,4059",
106,30/9/24,13:47,27,93,5,G,5,,CAF,T,T,T,A,A,A,1,0,0,0,0,"0,1883","13,5434","13,3551",
107,30/9/24,13:47,27,93,6,G,5,,CAF,T,T,T,T,A,A,1,0,0,1,0,"0,1796","12,9918","12,8122",
108,30/9/24,13:47,27,93,7,G,5,,CAF,T,A,A,A,T,A,1,0,0,1,0,"0,2186","12,9611","12,7425",
109,30/9/24,13:47,27,93,8,G,5,,CAF,T,T,A,A,A,A,1,0,0,1,0,"0,1649","13,0671","12,9022",
110,30/9/24,13:47,27,93,9,G,5,,ARG,T,T,T,T,T,A,1,0,0,1,0,"0,2511","12,7752","12,5241",
111,30/9/24,13:47,27,93,10,G,5,,ARG,T,T,T,A,A,A,(++),0,0,1,0,"0,2341","13,2041","12,97",
112,30/9/24,13:47,27,93,11,G,5,,ARG,T,T,T,T,T,T,1,0,0,0,0,"0,198","15,6444","15,4464",
113,30/9/24,13:47,27,93,12,G,5,,ARG,T,T,T,A,A,A,1,0,0,1,0,"0,1556","13,1116","12,956",
